number,nmck,final_price,drop_pct,winner_id,has_result
0172200002326000045,29697523.8,24400000.0,17.84,121188865,1
0372200247726000025,258443.01,164111.05,36.5,3202448,1
0846600001226000037,651176.67,647920.79,0.5,58,1
0145200000426000627,71097.7,59900.0,15.75,30,1
0372200174326000005,195588.01,149624.36,23.5,121188817,1
0372200136126000001,514556.82,388000.0,24.6,3199577,1
0122200002526001456,2998000.0,1990000.0,33.62,121179390,1
0335200013426000006,880414.98,519720.0,40.97,121178253,1
0372200081626000022,1055482.06,431000.0,59.17,121169759,1
0302300058626000003,2697016.0,2656514.92,1.5,A-384187,1
0869200000226003541,1218919.53,591175.73,51.5,121180318,1
0119200000126006987,460912.0,239674.24,48.0,121166750,1
0846600001226000035,383473.33,381555.96,0.5,17,1
0133200001726001209,372156.01,370156.01,0.54,121089772,1
0311100013326000021,1165442.67,965000.0,17.2,128692,1
0168300013026000238,26658.75,26392.15,1.0,121177178,1
0846600000526000033,4083091.13,2980646.77,27.0,210,1
0365000000126000003,1468075.0,998290.68,32.0,121147603,1
0848300048226000154,26190743.04,14299000.0,45.4,121135414,1
0309300106926000004,971276.62,786733.94,19.0,181,1
0142300038326000062,188304.63,148300.0,21.24,1,1
0371100006926000045,441470.4,248259.92,43.77,3173667,1
0145200000426000590,1253300.0,332790.84,73.45,50,1
0368200007226000026,337477.78,99046.57,70.65,24,1
0373200138226000311,1862305.6,949775.66,49.0,3168854,1
0819600006026000084,890331.67,381212.0,57.18,121147124,1
0819600006026000086,238976.67,151749.7,36.5,121148113,1
0372200015426000007,235219.0,111258.59,52.7,3169108,1
0311100013326000019,56049.34,51000.0,9.01,128300,1
0869200000226003439,2704930.71,2395570.0,11.44,121142889,1
0372200064126000008,92705.33,82700.0,10.79,121116869,1
0373100023626000004,8056749.94,5673572.82,29.58,250,1
0372200082826000010,755971.31,555638.73,26.5,3135785,1
0366200035626002669,20000000.0,9500000.0,52.5,121073978,1
0869200000226003400,872293.87,500000.0,42.68,2,1
0119200000126006742,4230302.06,1840181.43,56.5,70,1
0372200108226000096,257118.7,158127.5,38.5,121117987,1
0229100000226000099,300000.0,29150.0,90.28,121103181,1
0365000000126000001,2185000.0,2174075.0,0.5,121071826,1
0387200010626000013,120558.67,89000.0,26.18,123,1
0843500000226001897,1221948.62,883000.0,27.74,224,1
0320400000126000009,1021700.0,796926.0,22.0,3124731,1
0372200081726000022,856409.78,411076.32,52.0,121111287,1
0372200284426000030,1198248.06,862740.0,28.0,3148218,1
0128200000126002229,1700000.0,1623500.0,4.5,161,1
0328300032826000228,1178577.26,807500.0,31.49,3136973,1
0122200002526001243,4628333.35,3499000.0,24.4,121081177,1
0843500000226001748,115430.92,80100.0,30.61,3126177,1
0372100015526000064,533100.0,95095.95,82.16,3134006,1
0119200000126006209,490615.13,367845.03,25.02,102,1
0372200250726000020,3881669.83,2980000.0,23.23,121089992,1
0369100002326000022,644384.6,537768.0,16.55,121087645,1
0369100013326000034,2152437.58,1505700.0,30.05,3129028,1
0348100099826000013,1200000.0,576000.0,52.0,121074125,1
0148300000626000442,221082.0,54700.0,75.26,8,1
0372200004326000047,2222420.1,2207420.1,0.67,121016004,1
0335400002826000008,3333333.28,2990000.0,10.3,121066919,1
0372200191426000001,588526.94,379600.21,35.5,153,1
0187300010326000139,1991589.36,1603229.31,19.5,121034272,1
0335100006526000030,837153.33,535777.89,36.0,121040449,1
0340200003326004428,850546.58,530000.0,37.69,69,1
0843500000226001742,53550.84,46000.0,14.1,2,1
0843500000226001735,224960.31,208400.0,7.36,138,1
0843500000226001721,325162.1,119700.0,63.19,169,1
0108200000226000003,19266527.88,12908573.66,33.0,160,1
0877600001126000012,1306715.69,1105000.0,15.44,121066357,1
0356200010026000023,2311773.67,2300000.0,0.51,172,1
0372200025926000018,1738153.63,1206332.0,30.6,43,1
0372200042426000002,485965.0,272300.0,43.97,141,1
0325100003826000013,2957975.33,1582515.8,46.5,121007343,1
0348100099826000009,808000.0,603960.0,25.25,120996130,1
0851200000626002182,3142857.14,2160000.0,31.27,121012315,1
0321300071426000002,1974753.53,1341300.0,32.08,39,1
0329200062226000899,277035.18,276000.0,0.37,121021265,1
0338100001826000088,991860.0,954200.0,3.8,215,1
0711200002326000015,480000.0,477600.0,0.5,2365396,1
0348400008426000023,409266.87,10240.0,97.5,2,1
0816500000626005389,3741198.31,1954327.0,47.76,3060688,1
0168300008726000035,1298392.81,566958.04,56.33,221,1
